X,CH1,CH2,CH3,Start,Increment
Sequence,Volt,Volt,Volt,-0.262,0.001
848,5.2,2.22,-0.2,,
849,-0.2,2.28,5,,
850,5.2,2.3,-0.4,,
851,-0.2,2.22,5,,
852,-0.2,2.22,-0.2,,
853,5.2,2.3,5,,
854,5.2,2.28,5,,
855,-0.2,2.22,-0.2,,
856,5.2,2.16,5,,
857,0,2.3,-0.2,,
858,5.2,2.3,5,,
859,0,2.18,-0.2,,
860,5.2,2.3,5,,
861,-0.2,2.14,-0.2,,
862,5.2,2.2,5,,
863,0,2.3,-0.2,,
864,5.2,2.3,5,,
865,-0.2,2.14,-0.2,,
866,5.2,2.24,5,,
867,0,2.32,-0.2,,
868,5.2,2.24,5,,
869,-0.2,2.3,-0.2,,
870,5.2,2.3,5,,
871,0,2.24,-0.2,,
872,5.2,2.3,5,,
873,0,2.24,-0.2,,
874,5.2,2.22,-0.2,,
875,0,2.32,5,,
876,5.2,2.24,5,,
877,0,2.3,-0.2,,
878,5.2,2.3,5,,
879,-0.2,2.24,-0.2,,
880,5.2,2.3,-0.2,,
881,-0.2,2.24,5,,
882,5.2,2.3,-0.2,,
883,-0.2,2.24,5,,
884,5.2,2.32,-0.2,,
885,0,2.24,5,,
886,5.2,2.32,-0.2,,
887,0,2.24,5,,
888,5.2,2.28,-0.2,,
889,-0.2,2.32,5,,
890,5.2,2.28,-0.2,,
891,-0.2,2.32,5,,
892,5.2,2.32,-0.2,,
893,-0.2,2.24,5,,
894,5.2,2.32,5,,
895,0,2.24,-0.2,,
896,5.2,2.28,5,,
897,0,2.32,-0.2,,
898,5.2,2.28,5,,
899,0,2.32,-0.2,,
900,5.2,2.32,5,,
